author,year,covidence_id,sub_shock,sub_gender,sub_indication,subgroup_level,measure,measure_short,pool,measure_details,test_used,test_used_abbreviation,test_subscale,data_type,cat_measure,test_cutoff,symptom_category,cutoff_notes,clin_sig,mild,mild_plus,mod,mod_plus,sev,v_sev,pool_mod_plus,comparison_group_yesno,comparison_group_detail,comparison_group,study_timepoint,timepoint,timepoint2,time_broad_numerical,time_broad_units,time_descriptive,time_average_type,time_average,time_average_units,time_variance_type,time_variance,time_variance_range_type,time_variance_ll,time_variance_ul,range_units,time_2,time_group1,time_group1_N,time_group2,time_group2_N,time_average2,time_variance2,time_variance_ll2,time_variance_ul2,time_group3,time_group3_N,time_average3,time_variance3,time_variance_ll3,time_variance_ul3,categorical_notes,N_with_condition,N_without_condition,percentage_with_condition,N_total,N_tot_notes,average_type,average,variance_type,variance,range_type,range_ll,range_ul,icd2,icd1_details,icd2_details,N_total_icd2,average_type_icd2,average_icd2,variance_type_icd2,variance_icd2,variance_range_type_icd2,variance_range_ll_icd2,variance_range_ul_icd2,icd3,icd3_details,N_total_icd3,average_type_icd3,average_icd3,variance_type_icd3,variance_icd3,variance_range_type_icd3,variance_range_ll_icd3,variance_range_ul_icd3,icd4,icd4_details,N_total_icd4,average_type_icd4,average_icd4,variance_type_icd4,variance_icd4,variance_range_type_icd4,variance_range_ll_icd4,variance_range_ul_icd4,categorical_notes_comparison,N_with_condition_comparison,N_without_condition_comparison,percentage_with_condition_comparison,N_total_comparison,average_type_comparison,average_comparison,variance_type_comparison,variance_comparison,range_type_comparison,range_ll_comparison,range_ul_comparison,cohen_d_comparison,group1_cohensd_N,group2_cohensd_N,higherscore_cohensd,p_cohens_d_comparison
Aggarwal,2015,3519,,,,,depression,d,,"Each item is scored on a four-point scale and total scores correspond to minimal depression (0–13 points), mild depression (14–19 points), moderate depression (20–28 points), and severe depression (>29 points)",Beck Depressive Inventory II,BDI-II,,cat,symptom,14-19,mild,mild,,1,,,,,,,,,,1,5,5,,,unspecified time post ICD,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,mdd,d,,MDD diagnosis,Mini International Neuropsychiatric Interview,MINI,,cat,diagnosis,presence,,,,,,,,,,,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,4,91,4.2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,depression,d,,HAM-D <8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D 􏰀23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cat,symptom,≥8,mild+,,,,1,,,,,,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,27,68,28,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,depression,d,,HAM-D <8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D 􏰀23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cat,symptom,Aug-13,mild,,,1,,,,,,,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,18,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,depression,d,,HAM-D <8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D 􏰀23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cat,symptom,14-18,moderate,,,,,1,,,,1,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,6,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,depression,d,,HAM-D <8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D 􏰀23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cat,symptom,19-23,severe,,,,,,,1,,1,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,1,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,depression,d,,HAM-D <8 no depression; 8–13 mild depression; 14–18 moderate depression; 19–22 severe depression; HAM-D 􏰀23 very severe depression,Hamilton Rating Scale for Depression,HAM-D,,cat,symptom,23+,very severe,,,,,,,,1,1,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,2,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,dysthymia,d,,Diagnosis of dysthymia,Mini International Neuropsychiatric Interview,MINI,,cat,diagnosis,presence,,,,,,,,,,,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,3,92,3.2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,anxiety,a,,Anxiety disorder (panic disorder with agoraphobia),Mini International Neuropsychiatric Interview,MINI,,cat,diagnosis,presence,,,,,,,,,,,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,1,94,1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiaz,2016,3405,,,,,ptsd,p,,PTSD diagnosis,Mini International Neuropsychiatric Interview,MINI,,cat,diagnosis,presence,,,,,,,,,,,,,,1,,,,,,mean,4.4,year,SD,3.8,range,0,21.5,year,,,,,,,,,,,,,,,,,0,95,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
